goos: darwin
goarch: arm64
pkg: github.com/Gaudeamus/syncMapGeneric
cpu: Apple M1 Pro
BenchmarkLoadAndDeleteCollision/*syncmap.SyncMap[int,int]-10 	341361248	         3.194 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoadAndDeleteCollision/*syncmap.SyncMap[int,int]-10 	382965380	         3.321 ns/op	       0 B/op	       0 allocs/op
BenchmarkLoadAndDeleteCollision/*syncmap.SyncMap[int,int]-10 	287261965	         3.599 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange/*syncmap.SyncMap[int,int]-10                  	  901952	      1322 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange/*syncmap.SyncMap[int,int]-10                  	  889028	      1301 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange/*syncmap.SyncMap[int,int]-10                  	  904243	      1308 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange/*syncmap.SyncMap[int,int]-10                  	  912740	      1307 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange/*syncmap.SyncMap[int,int]-10                  	  888578	      1337 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange/*syncmap.SyncMap[int,int]-10                  	  800268	      1586 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange/*syncmap.SyncMap[int,int]-10                  	  896037	      2276 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange/*syncmap.SyncMap[int,int]-10                  	  639612	      1633 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange/*syncmap.SyncMap[int,int]-10                  	  767864	      1324 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange/*syncmap.SyncMap[int,int]-10                  	  854822	      1572 ns/op	       0 B/op	       0 allocs/op
BenchmarkAdversarialAlloc/*syncmap.SyncMap[int,int]-10       	 6296258	       197.3 ns/op	      39 B/op	       0 allocs/op
BenchmarkAdversarialAlloc/*syncmap.SyncMap[int,int]-10       	 6519541	       198.1 ns/op	      39 B/op	       0 allocs/op
BenchmarkAdversarialAlloc/*syncmap.SyncMap[int,int]-10       	 6520334	       195.6 ns/op	      39 B/op	       0 allocs/op
BenchmarkAdversarialAlloc/*syncmap.SyncMap[int,int]-10       	 6528158	       197.9 ns/op	      40 B/op	       0 allocs/op
BenchmarkAdversarialAlloc/*syncmap.SyncMap[int,int]-10       	 6710761	       200.3 ns/op	      39 B/op	       0 allocs/op
BenchmarkAdversarialAlloc/*syncmap.SyncMap[int,int]-10       	 6559440	       196.3 ns/op	      39 B/op	       0 allocs/op
BenchmarkAdversarialAlloc/*syncmap.SyncMap[int,int]-10       	 6732674	       200.7 ns/op	      40 B/op	       0 allocs/op
BenchmarkAdversarialAlloc/*syncmap.SyncMap[int,int]-10       	 6365688	       243.7 ns/op	      40 B/op	       0 allocs/op
BenchmarkAdversarialAlloc/*syncmap.SyncMap[int,int]-10       	 6173370	       214.9 ns/op	      40 B/op	       0 allocs/op
BenchmarkAdversarialAlloc/*syncmap.SyncMap[int,int]-10       	 6186680	       200.7 ns/op	      40 B/op	       0 allocs/op
BenchmarkAdversarialDelete/*syncmap.SyncMap[int,int]-10      	30835843	        38.64 ns/op	      10 B/op	       0 allocs/op
BenchmarkAdversarialDelete/*syncmap.SyncMap[int,int]-10      	31191954	        37.74 ns/op	      10 B/op	       0 allocs/op
BenchmarkAdversarialDelete/*syncmap.SyncMap[int,int]-10      	34234484	        37.47 ns/op	      10 B/op	       0 allocs/op
BenchmarkAdversarialDelete/*syncmap.SyncMap[int,int]-10      	30092534	        37.87 ns/op	      10 B/op	       0 allocs/op
BenchmarkAdversarialDelete/*syncmap.SyncMap[int,int]-10      	33337615	        40.85 ns/op	      10 B/op	       0 allocs/op
BenchmarkAdversarialDelete/*syncmap.SyncMap[int,int]-10      	32663170	        38.48 ns/op	      10 B/op	       0 allocs/op
BenchmarkAdversarialDelete/*syncmap.SyncMap[int,int]-10      	32556204	        37.77 ns/op	      10 B/op	       0 allocs/op
BenchmarkAdversarialDelete/*syncmap.SyncMap[int,int]-10      	31967356	        41.77 ns/op	      10 B/op	       0 allocs/op
BenchmarkAdversarialDelete/*syncmap.SyncMap[int,int]-10      	33667552	        41.86 ns/op	      11 B/op	       0 allocs/op
BenchmarkAdversarialDelete/*syncmap.SyncMap[int,int]-10      	32521316	        68.67 ns/op	      16 B/op	       0 allocs/op
BenchmarkDeleteCollision/*syncmap.SyncMap[int,int]-10        	760840989	         2.030 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteCollision/*syncmap.SyncMap[int,int]-10        	560611546	         1.835 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteCollision/*syncmap.SyncMap[int,int]-10        	1000000000	         0.9258 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteCollision/*syncmap.SyncMap[int,int]-10        	1000000000	         1.824 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteCollision/*syncmap.SyncMap[int,int]-10        	1000000000	         0.8971 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteCollision/*syncmap.SyncMap[int,int]-10        	701222145	         1.825 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteCollision/*syncmap.SyncMap[int,int]-10        	1000000000	         0.8948 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteCollision/*syncmap.SyncMap[int,int]-10        	1000000000	         1.064 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteCollision/*syncmap.SyncMap[int,int]-10        	669910461	         2.548 ns/op	       0 B/op	       0 allocs/op
BenchmarkDeleteCollision/*syncmap.SyncMap[int,int]-10        	1000000000	         0.9951 ns/op	       0 B/op	       0 allocs/op
BenchmarkSwapCollision/*syncmap.SyncMap[int,int]-10          	 7153002	       161.8 ns/op	      16 B/op	       1 allocs/op
BenchmarkSwapCollision/*syncmap.SyncMap[int,int]-10          	 7361661	       165.6 ns/op	      16 B/op	       1 allocs/op
BenchmarkSwapCollision/*syncmap.SyncMap[int,int]-10          	 7268193	       171.1 ns/op	      16 B/op	       1 allocs/op
BenchmarkSwapCollision/*syncmap.SyncMap[int,int]-10          	 7212510	       169.5 ns/op	      16 B/op	       1 allocs/op
BenchmarkSwapCollision/*syncmap.SyncMap[int,int]-10          	 7258521	       166.9 ns/op	      16 B/op	       1 allocs/op
BenchmarkSwapCollision/*syncmap.SyncMap[int,int]-10          	 7243524	       165.7 ns/op	      16 B/op	       1 allocs/op
BenchmarkSwapCollision/*syncmap.SyncMap[int,int]-10          	 7302606	       165.0 ns/op	      16 B/op	       1 allocs/op
BenchmarkSwapCollision/*syncmap.SyncMap[int,int]-10          	 7242018	       166.3 ns/op	      16 B/op	       1 allocs/op
